stock_id,date,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2330,2012-09-27,55641705,4843917168,86.8,87.8,86.2,87.6,1.2,13494
2330,2012-09-28,70929037,6323798528,88.6,89.8,88.5,89.8,2.2,15770
2330,2012-10-01,38173594,3384611328,89.2,89.2,88.3,88.9,-0.9,8934
2330,2012-10-02,35734271,3192851647,89.2,89.8,88.9,89.6,0.7,6356
2330,2012-10-03,32589245,2921834923,89.6,89.9,89.3,89.8,0.2,7271
2330,2012-10-04,39780768,3586440559,89.9,90.6,89.5,90.6,0.8,10858
2330,2012-10-05,42175189,3837331745,91.0,91.3,90.4,91.0,0.4,9903
2330,2012-10-08,40762655,3649042097,91.0,91.0,89.0,89.1,-1.9,9458
2330,2012-10-09,61216255,5366535777,87.2,88.5,87.1,87.1,-2.0,15175
2330,2012-10-11,77901683,6639961233,85.1,85.7,84.8,85.5,-1.6,16816
2330,2012-10-12,24739631,2125552996,85.6,86.3,85.3,86.3,0.8,7531
2330,2012-10-15,19652476,1688835188,86.1,86.4,85.4,86.4,0.1,5790
2330,2012-10-16,29927964,2605642551,86.7,87.5,86.7,87.5,1.1,8318
2330,2012-10-17,35886090,3129200403,87.8,88.0,86.5,87.4,-0.1,11696
2330,2012-10-18,23090340,2022320120,87.0,88.2,87.0,88.1,0.7,6779
2330,2012-10-19,27673474,2398661445,86.2,87.3,86.2,86.7,-1.4,7739
2330,2012-10-22,21235789,1824506814,86.3,86.3,85.6,86.0,-0.7,6010
2330,2012-10-23,16192754,1390372758,85.9,86.3,85.6,85.7,-0.3,4900
2330,2012-10-24,30208483,2592332070,85.1,86.4,85.1,85.4,-0.3,7746
2330,2012-10-25,39418993,3351045905,85.4,85.6,84.5,84.8,-0.6,11631
2330,2012-10-26,68297593,5948363091,86.5,88.3,86.3,87.3,2.5,16865
2330,2012-10-29,37746925,3334640360,88.3,89.1,87.6,88.1,0.8,10906
2330,2012-10-30,30349208,2684851877,88.8,89.0,87.7,88.0,-0.1,8727
2330,2012-10-31,26035534,2302952644,88.0,88.8,87.9,88.7,0.7,6833
2330,2012-11-01,36018430,3184279870,88.6,89.2,87.7,89.2,0.5,7548
2330,2012-11-02,39106042,3513506904,90.0,90.1,89.5,89.9,0.7,9149
2330,2012-11-05,31496291,2830445174,89.9,90.3,88.8,90.3,0.4,7537
